Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
303234;SLUITKAST WIT BIN.DR.NEMEF2565  SK2565/1-WIT;3.71;;1.85;1;st;1143;SK2565/1;ASSA ABLOY;;
303255;UITZETIJZER AXA HABILIS 300 GRIJS  2635-30-49/6;11.58;;5.79;1;st;1161;263530496;AXA;;
303256;UITZETIJZER AXA HABILIS 300 RVS  2635-30-81/6;24.25;;12.12;1;st;1161;263530816;AXA;;
303257;UITZETIJZER AXA HABILIS 300 RVS  2635-31-81/6 KORTE HOEK;24.25;;12.12;1;st;1161;263531816;AXA;;
303259;UITZETIJZER AXA HABILIS 300 RVS  2635-32-81 OMGEKEERDE HOEK;26.55;;13.27;1;st;1161;26353281;AXA;;
303260;UITZETIJZER AXA HABILIS 300 GRIJS  2635-31-49 KORTE HOEK;12.16;;6.08;1;st;1161;26353149;AXA;;
303266;UITZETIJZER AXA ELITE 300 GRIJS  2609-30-49/E;10.40;;5.20;1;st;1161;26093049E;AXA;;
303267;UITZETIJZER AXA ELITE 300 RVS  2609-30-81/6;23.77;;11.88;1;st;1161;260930816;AXA;;
303335;PENSTOEL AXA ELITE NR.6 VERZINKT  2466-06-22;1.89;;0.94;1;st;1164;24660622;AXA;;
303336;PENSTOEL AXA ELITE NR.6 RVS  2466-06-81;3.98;;1.99;1;st;1164;24660681;AXA;;
303337;PENSTOEL AXA ELITE NR.17 VERZINKT  2466-17-22 TBV TOCHTPROFIEL;3.11;;1.55;1;st;1164;24661722;AXA;;
303338;PENSTOEL AXA ELITE NR.18 VERZINKT  2466-18-22/E VERHOOGD;2.42;;1.21;1;st;1164;24661822E;AXA;;
303342;PENSTOEL AXA HABILIS NR.6 VERZINKT  2465-06-22;2.12;;1.06;1;st;1164;24650622;AXA;;
303343;PENSTOEL AXA HABILIS NR.6 RVS  2465-06-81;4.26;;2.13;1;st;1164;24650681;AXA;;
303344;PENSTOEL AXA HABILIS/ELITE NR.16  2465-16-22 VERZINKT VOOR VERGRENDELING;1.96;;0.98;1;st;1164;24651622;AXA;;
303345;PENSTOEL AXA HABILIS NR.17 VERZINKT  2465-17-22 TBV TOCHTPROFIEL;3.11;;1.55;1;st;1164;24651722;AXA;;
303346;PENSTOEL AXA HABILIS NR.18 RVS  2465-18-81 VERHOOGD;5.43;;2.71;1;st;1164;24651881;AXA;;
